"June, July, Aug",06/16/20,12:19,"Bob ""K6RWY Van Tuyl",Field Operator,Last half of June and  all of July,Bob,102
06/16/20,17:29,,18:29,01 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,02 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:18,,22:00,03 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:21,,22:00,04 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,15:02,,16:00,05 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,13:00,06/19/20,23:20,06 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,07 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,08 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,09 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:18,,22:00,10 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:21,,22:00,11 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,15:02,,16:00,12 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,13:00,06/19/20,23:20,13 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,14 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,15 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,16 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:18,,22:00,17 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:21,,22:00,18 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,15:02,,16:00,19 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,13:00,06/19/20,23:20,20 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,21 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,22 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,17:29,,18:29,23 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:18,,22:00,24 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/16/20,21:21,,22:00,25 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,15:02,,16:00,26 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/17/20,13:00,06/19/20,23:20,27 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
06/19/20,18:23,,,28 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
